source,product_name,sku,storage,colour,mrp,selling_price,discount,effective_price,availability,rating,deal_score,emi_monthly,emi_tenure_months,product_url,scraped_at
reliance_digital,"Apple iPhone 16 128 GB, Black",8590265,128GB,Black,69900.0,69900.0,0.0,64900.0,available,,84.8,5827.18,12,https://www.reliancedigital.in/product/apple-iphone-16-128-gb-black-m0xrrm-8590265,2026-09-08T18:11:37.098970
vijay_sales,"Apple iPhone 16 (128GB Storage, Teal)",232289,128GB,Teal,68900.0,68900.0,0.0,68900.0,available,4.8,74.7,5741.67,12,https://www.vijaysales.com/p/232289/apple-iphone-16-128gb-storage-teal,2026-09-08T18:11:37.100211
vijay_sales,"Apple iPhone 16 (128GB Storage, Pink)",232287,128GB,Pink,68900.0,68900.0,0.0,68900.0,available,5.0,74.7,5741.67,12,https://www.vijaysales.com/p/232287/apple-iphone-16-128gb-storage-pink,2026-09-08T18:11:37.100842
vijay_sales,"Apple iPhone 16 (128GB Storage, Black)P232288",P232288,128GB,Black,68900.0,68900.0,0.0,68900.0,available,,74.7,6186.33,12,https://www.vijaysales.com/p/P232288/apple-iphone-16-128gb-storage-black-p232288,2026-09-08T18:11:37.105990
vijay_sales,"Apple iPhone 16 (128GB Storage, White)",232286,128GB,White,68900.0,68900.0,0.0,68900.0,available,4.8,74.7,6186.33,12,https://www.vijaysales.com/p/232286/apple-iphone-16-128gb-storage-white,2026-09-08T18:11:37.108646
vijay_sales,"Apple iPhone 16 (128GB Storage, Black)",232285,128GB,Black,68900.0,68900.0,0.0,68900.0,available,4.5,74.7,6186.33,12,https://www.vijaysales.com/p/232285/apple-iphone-16-128gb-storage-black,2026-09-08T18:11:37.109004
vijay_sales,"Apple iPhone 16 (128GB Storage, Ultramarine)",232288,128GB,Ultramarine,68900.0,68900.0,0.0,68900.0,available,4.7,74.7,6186.33,12,https://www.vijaysales.com/p/232288/apple-iphone-16-128gb-storage-ultramarine,2026-09-08T18:11:37.110645
croma,"Apple iPhone 16 (128GB, Teal)",,128GB,Teal,69900.0,69900.0,0.0,69900.0,available,,66.0,6276.12,12,https://www.croma.com/apple-iphone-16-128gb-teal-/p/309695,2026-09-08T18:11:37.096738
croma,"Apple iPhone 16 (128GB, White)",,128GB,White,69900.0,69900.0,0.0,69900.0,available,,66.0,6276.12,12,https://www.croma.com/apple-iphone-16-128gb-white-/p/309692,2026-09-08T18:11:37.097302
croma,"Apple iPhone 16 (128GB, Black)",,128GB,Black,69900.0,69900.0,0.0,69900.0,available,,66.0,6276.12,12,https://www.croma.com/apple-iphone-16-128gb-black-/p/309621,2026-09-08T18:11:37.097715
reliance_digital,"Apple iPhone 16 128 GB, Pink",8590261,128GB,Pink,69900.0,69900.0,0.0,69900.0,out_of_stock,,61.3,6276.12,12,https://www.reliancedigital.in/product/apple-iphone-16-128-gb-pink-m0xrri-8590261,2026-09-08T18:11:37.098089
reliance_digital,"Apple iPhone 16 128 GB, Teal",8590284,128GB,Teal,69900.0,69900.0,0.0,69900.0,out_of_stock,,61.3,6276.12,12,https://www.reliancedigital.in/product/apple-iphone-16-128-gb-teal-m0xrss-8590284,2026-09-08T18:11:37.099673
reliance_digital,"Apple iPhone 16 Plus 128 GB, Black",8590111,128GB,Black,79900.0,77990.0,1910.0,71990.0,available,,77.1,6463.77,12,https://www.reliancedigital.in/product/apple-iphone-16-plus-128-gb-black-m0xqp8-8590111,2026-09-08T18:11:37.098462
vijay_sales,"Apple iPhone 16 (256GB Storage, Pink)",232292,256GB,Pink,79900.0,79900.0,0.0,79900.0,available,,60.0,6658.33,12,https://www.vijaysales.com/p/232292/apple-iphone-16-256gb-storage-pink,2026-09-08T18:11:37.102080
vijay_sales,"Apple iPhone 16 (256GB Storage, Black)",232290,256GB,Black,79900.0,79900.0,0.0,79900.0,available,5.0,60.0,6658.33,12,https://www.vijaysales.com/p/232290/apple-iphone-16-256gb-storage-black,2026-09-08T18:11:37.105343
vijay_sales,"Apple iPhone 16 Plus (128GB Storage, Black)P232270",P232270,128GB,Black,79900.0,79900.0,0.0,79900.0,available,,60.0,7173.99,12,https://www.vijaysales.com/p/P232270/apple-iphone-16-plus-128gb-storage-black-p232270,2026-09-08T18:11:37.106809
vijay_sales,"Apple iPhone 16 Plus (128GB Storage, Ultramarine)",232273,128GB,Ultramarine,79900.0,79900.0,0.0,79900.0,available,5.0,60.0,7173.99,12,https://www.vijaysales.com/p/232273/apple-iphone-16-plus-128gb-storage-ultramarine,2026-09-08T18:11:37.107919
vijay_sales,"Apple iPhone 16 Plus (128GB Storage, Black)",232270,128GB,Black,79900.0,79900.0,0.0,79900.0,available,5.0,60.0,7173.99,12,https://www.vijaysales.com/p/232270/apple-iphone-16-plus-128gb-storage-black,2026-09-08T18:11:37.108279
vijay_sales,"Apple iPhone 16 Plus (128GB Storage, Teal)",232274,128GB,Teal,79900.0,79900.0,0.0,79900.0,available,,60.0,7173.99,12,https://www.vijaysales.com/p/232274/apple-iphone-16-plus-128gb-storage-teal,2026-09-08T18:11:37.109775
vijay_sales,"Apple iPhone 16 Plus (128GB Storage, Pink)",232272,128GB,Pink,79900.0,79900.0,0.0,79900.0,available,,60.0,7173.99,12,https://www.vijaysales.com/p/232272/apple-iphone-16-plus-128gb-storage-pink,2026-09-08T18:11:37.110199
vijay_sales,"Apple iPhone 16 (256GB Storage, White)",232291,256GB,White,79900.0,79900.0,0.0,79900.0,available,,60.0,7173.99,12,https://www.vijaysales.com/p/232291/apple-iphone-16-256gb-storage-white,2026-09-08T18:11:37.111019
vijay_sales,"Apple iPhone 16 Plus (256GB Storage, Black)",232275,256GB,Black,89900.0,89900.0,0.0,89900.0,available,,46.7,8071.86,12,https://www.vijaysales.com/p/232275/apple-iphone-16-plus-256gb-storage-black,2026-09-08T18:11:37.107565
vijay_sales,"Apple iPhone 16 Plus (256GB Storage, Pink)",232277,256GB,Pink,89900.0,89900.0,0.0,89900.0,available,,46.7,8071.86,12,https://www.vijaysales.com/p/232277/apple-iphone-16-plus-256gb-storage-pink,2026-09-08T18:11:37.109401
vijay_sales,"Apple iPhone 16 Plus (512GB Storage, Ultramarine)",232283,512GB,Ultramarine,109900.0,109900.0,0.0,109900.0,available,5.0,20.0,9867.6,12,https://www.vijaysales.com/p/232283/apple-iphone-16-plus-512gb-storage-ultramarine,2026-09-08T18:11:37.107206
