source,product_name,sku,storage,colour,mrp,selling_price,discount,effective_price,availability,rating,deal_score,emi_monthly,emi_tenure_months,product_url,scraped_at
reliance_digital,"Apple iPhone 17 Pro 256 GB, Silver",9388031,256GB,Silver,134900.0,128990.0,5910.0,128990.0,out_of_stock,,70.9,11581.64,12,https://www.reliancedigital.in/product/apple-iphone-17-pro-256-gb-silver-mff5yc-9388031,2026-09-08T18:10:58.520405
reliance_digital,"Apple iPhone 17 Pro 256 GB, Cosmic Orange",9388032,256GB,Cosmic Orange,134900.0,128990.0,5910.0,128990.0,out_of_stock,,70.9,11581.64,12,https://www.reliancedigital.in/product/apple-iphone-17-pro-256-gb-cosmic-orange-mff5yc-9388032,2026-09-08T18:10:58.520946
reliance_digital,"Apple iPhone 17 Pro 256 GB, Deep Blue",9388030,256GB,Deep Blue,134900.0,128990.0,5910.0,128990.0,out_of_stock,,70.9,11581.64,12,https://www.reliancedigital.in/product/apple-iphone-17-pro-256-gb-deep-blue-mff5yc-9388030,2026-09-08T18:10:58.521666
vijay_sales,"Apple iPhone 17 Pro (256GB Storage, Cosmic Orange) P245195",P245195,256GB,Cosmic Orange,129590.0,129590.0,0.0,129590.0,available,,78.3,11635.51,12,https://www.vijaysales.com/p/P245195/apple-iphone-17-pro-256gb-storage-cosmic-orange-p245195,2026-09-08T18:10:58.531354
vijay_sales,"Apple iPhone 17 Pro (256GB Storage, Cosmic Orange)",245195,256GB,Cosmic Orange,129590.0,129590.0,0.0,129590.0,available,4.5,78.3,11635.51,12,https://www.vijaysales.com/p/245195/apple-iphone-17-pro-256gb-cosmic-orange,2026-09-08T18:10:58.536503
vijay_sales,"Apple iPhone 17 Pro (256GB Storage, Silver)",245194,256GB,Silver,129590.0,129590.0,0.0,129590.0,available,5.0,78.3,11635.51,12,https://www.vijaysales.com/p/245194/apple-iphone-17-pro-256gb-silver,2026-09-08T18:10:58.539456
vijay_sales,"Apple iPhone 17 Pro (256GB Storage, Deep Blue)",245196,256GB,Deep Blue,129590.0,129590.0,0.0,129590.0,available,4.7,78.3,11635.51,12,https://www.vijaysales.com/p/245196/apple-iphone-17-pro-256gb-deep-blue,2026-09-08T18:10:58.539812
croma,"Apple iPhone 17 Pro (256GB, Cosmic Orange)",,256GB,Cosmic Orange,134900.0,134900.0,0.0,134900.0,available,,56.7,12112.28,12,https://www.croma.com/apple-iphone-17-pro-256gb-cosmic-orange-/p/317417,2026-09-08T18:10:58.528988
reliance_digital,"Apple iPhone 17 Pro Max 256 GB, Silver",9387381,256GB,Silver,149900.0,141990.0,7910.0,137984.0,available,,59.5,12389.19,12,https://www.reliancedigital.in/product/apple-iphone-17-pro-max-256-gb-silver-mff2dr-9387381,2026-09-08T18:10:58.526827
reliance_digital,"Apple iPhone 17 Pro Max 256 GB, Cosmic Orange",9387382,256GB,Cosmic Orange,149900.0,141990.0,7910.0,141990.0,out_of_stock,,34.2,12748.87,12,https://www.reliancedigital.in/product/apple-iphone-17-pro-max-256-gb-cosmic-orange-mff2f0-9387382,2026-09-08T18:10:58.527499
reliance_digital,"Apple iPhone 17 Pro Max 256 GB, Deep Blue",9387385,256GB,Deep Blue,149900.0,141990.0,7910.0,141990.0,out_of_stock,,34.2,12748.87,12,https://www.reliancedigital.in/product/apple-iphone-17-pro-max-256-gb-deep-blue-mff2k1-9387385,2026-09-08T18:10:58.528344
vijay_sales,"Apple iPhone 17 Pro Max (256GB Storage, Deep Blue)",245208,256GB,Deep Blue,143990.0,143990.0,0.0,143990.0,available,4.8,37.0,12928.45,12,https://www.vijaysales.com/p/245208/apple-iphone-17-pro-max-256gb-deep-blue,2026-09-08T18:10:58.537992
vijay_sales,"Apple iPhone 17 Pro Max (256GB Storage, Cosmic Orange)",245207,256GB,Cosmic Orange,143990.0,143990.0,0.0,143990.0,available,5.0,37.0,12928.45,12,https://www.vijaysales.com/p/245207/apple-iphone-17-pro-max-256gb-cosmic-orange,2026-09-08T18:10:58.538729
vijay_sales,"Apple iPhone 17 Pro Max (256GB Storage, Cosmic Orange) P245207",P245207,256GB,Cosmic Orange,143990.0,143990.0,0.0,143990.0,available,,37.0,12928.45,12,https://www.vijaysales.com/p/P245207/apple-iphone-17-pro-max-256gb-storage-cosmic-orange-p245207,2026-09-08T18:10:58.539093
vijay_sales,"Apple iPhone 17 Pro Max (256GB Storage, Silver)",245206,256GB,Silver,143990.0,143990.0,0.0,143990.0,available,5.0,37.0,12928.45,12,https://www.vijaysales.com/p/245206/apple-iphone-17-pro-max-256gb-silver,2026-09-08T18:10:58.543027
croma,"Apple iPhone 17 Pro Max (256GB, Deep Blue)",,256GB,Deep Blue,149900.0,149900.0,0.0,149900.0,available,,18.0,13459.09,12,https://www.croma.com/apple-iphone-17-pro-max-256gb-deep-blue-/p/317435,2026-09-08T18:10:58.529541
croma,"Apple iPhone 17 Pro Max (256GB, Cosmic Orange)",,256GB,Cosmic Orange,149900.0,149900.0,0.0,149900.0,available,,18.0,13459.09,12,https://www.croma.com/apple-iphone-17-pro-max-256gb-cosmic-orange-/p/317434,2026-09-08T18:10:58.529925
croma,"Apple iPhone 17 Pro Max (256GB, Silver)",,256GB,Silver,149900.0,149900.0,0.0,149900.0,available,,18.0,13459.09,12,https://www.croma.com/apple-iphone-17-pro-max-256gb-silver-/p/317432,2026-09-08T18:10:58.530285
